locus_tag	ftype	length_bp	gene	EC_number	COG	product
AMPIKKCB_00025	CDS	150				hypothetical protein
AMPIKKCB_00026	CDS	1326	guaD_1	3.5.4.3	COG0402	Guanine deaminase
AMPIKKCB_00027	CDS	1056	ndmA	1.14.13.178		Methylxanthine N1-demethylase NdmA
AMPIKKCB_00028	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
AMPIKKCB_00029	CDS	366				hypothetical protein
AMPIKKCB_00030	CDS	957	alx		COG0861	Putative membrane-bound redox modulator Alx
AMPIKKCB_00031	CDS	597	ybjG	3.6.1.27	COG0671	Putative undecaprenyl-diphosphatase YbjG
AMPIKKCB_00032	CDS	1251				hypothetical protein
AMPIKKCB_00033	CDS	1374	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
AMPIKKCB_00034	CDS	366				hypothetical protein
AMPIKKCB_00035	CDS	513	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
AMPIKKCB_00036	CDS	1122	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
AMPIKKCB_00037	CDS	1293				Tn3 family transposase TnXax1
AMPIKKCB_00038	CDS	375				hypothetical protein
AMPIKKCB_00039	CDS	1011				hypothetical protein
AMPIKKCB_00040	CDS	918				hypothetical protein
AMPIKKCB_00041	CDS	1941	dnaK		COG0443	Chaperone protein DnaK
AMPIKKCB_00042	CDS	555	grpE		COG0576	Protein GrpE
AMPIKKCB_00043	CDS	894	dmlR_1			HTH-type transcriptional regulator DmlR
AMPIKKCB_00044	CDS	867				hypothetical protein
AMPIKKCB_00045	CDS	231				hypothetical protein
AMPIKKCB_00046	CDS	327				hypothetical protein
AMPIKKCB_00047	CDS	1071	nlhH_1	3.1.1.1	COG0657	Carboxylesterase NlhH
AMPIKKCB_00048	CDS	558	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
AMPIKKCB_00049	rRNA	1533				16S ribosomal RNA
AMPIKKCB_00050	tRNA	77				tRNA-Ile(gat)
AMPIKKCB_00051	tRNA	76				tRNA-Ala(tgc)
AMPIKKCB_00052	rRNA	2890				23S ribosomal RNA
AMPIKKCB_00053	rRNA	111				5S ribosomal RNA
AMPIKKCB_00054	CDS	543				hypothetical protein
AMPIKKCB_00055	CDS	483	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
AMPIKKCB_00056	CDS	531	lspA_1	3.4.23.36	COG0597	Lipoprotein signal peptidase
AMPIKKCB_00057	CDS	2838	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
AMPIKKCB_00058	CDS	1002	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
AMPIKKCB_00059	CDS	1134				hypothetical protein
AMPIKKCB_00060	CDS	567	mtnN_1	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
AMPIKKCB_00061	CDS	621	rutR		COG1309	HTH-type transcriptional regulator RutR
AMPIKKCB_00062	CDS	801	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
AMPIKKCB_00063	CDS	798	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
AMPIKKCB_00064	CDS	1176	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
AMPIKKCB_00065	CDS	984	ssuA_1			Putative aliphatic sulfonates-binding protein
AMPIKKCB_00066	CDS	969	ssuA_2			Putative aliphatic sulfonates-binding protein
AMPIKKCB_00067	CDS	1356	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
AMPIKKCB_00068	CDS	321				hypothetical protein
AMPIKKCB_00069	CDS	411				hypothetical protein
AMPIKKCB_00070	CDS	747	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
AMPIKKCB_00071	CDS	699	mupP_1	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
AMPIKKCB_00072	CDS	714	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
AMPIKKCB_00073	CDS	618	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
AMPIKKCB_00074	CDS	648				hypothetical protein
AMPIKKCB_00075	CDS	639	fabR_1			HTH-type transcriptional repressor FabR
AMPIKKCB_00076	CDS	1026		1.-.-.-	COG1018	NADPH oxidoreductase
AMPIKKCB_00077	CDS	1149	desA3_1	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
AMPIKKCB_00078	CDS	717	rph	2.7.7.56	COG0689	Ribonuclease PH
AMPIKKCB_00079	CDS	978				hypothetical protein
AMPIKKCB_00080	CDS	174				hypothetical protein
AMPIKKCB_00081	CDS	1089				hypothetical protein
AMPIKKCB_00082	CDS	507				hypothetical protein
AMPIKKCB_00083	CDS	177				hypothetical protein
AMPIKKCB_00084	CDS	876				hypothetical protein
AMPIKKCB_00085	CDS	1056				hypothetical protein
AMPIKKCB_00086	CDS	873				hypothetical protein
AMPIKKCB_00087	CDS	1203	intA_1		COG0582	Prophage integrase IntA
AMPIKKCB_00088	CDS	222				hypothetical protein
AMPIKKCB_00089	CDS	828	repA			Regulatory protein RepA
AMPIKKCB_00090	CDS	738				hypothetical protein
AMPIKKCB_00091	CDS	780				hypothetical protein
AMPIKKCB_00092	CDS	237				hypothetical protein
AMPIKKCB_00093	CDS	1428				hypothetical protein
AMPIKKCB_00094	CDS	249				hypothetical protein
AMPIKKCB_00095	CDS	225				hypothetical protein
AMPIKKCB_00096	CDS	204				hypothetical protein
AMPIKKCB_00097	CDS	1068	acr3_1		COG0798	Arsenical-resistance protein Acr3
AMPIKKCB_00098	CDS	507	arsC_1	1.20.4.4	COG0394	Arsenate reductase
AMPIKKCB_00099	CDS	768	arsH	1.-.-.-		NADPH-dependent FMN reductase ArsH
AMPIKKCB_00100	CDS	738				hypothetical protein
AMPIKKCB_00101	CDS	225				hypothetical protein
AMPIKKCB_00102	CDS	1494				hypothetical protein
AMPIKKCB_00103	CDS	303	glmM_1			Phosphoglucosamine mutase
AMPIKKCB_00104	CDS	816	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
AMPIKKCB_00105	CDS	396				hypothetical protein
AMPIKKCB_00106	CDS	201				hypothetical protein
AMPIKKCB_00107	CDS	984				hypothetical protein
AMPIKKCB_00108	CDS	612	bin3			Putative transposon Tn552 DNA-invertase bin3
AMPIKKCB_00109	CDS	417				hypothetical protein
AMPIKKCB_00110	CDS	243				hypothetical protein
AMPIKKCB_00111	CDS	258				hypothetical protein
AMPIKKCB_00112	CDS	372				hypothetical protein
AMPIKKCB_00113	CDS	420				hypothetical protein
AMPIKKCB_00114	CDS	453				hypothetical protein
AMPIKKCB_00115	CDS	513				hypothetical protein
AMPIKKCB_00116	CDS	975				hypothetical protein
AMPIKKCB_00117	CDS	378				hypothetical protein
AMPIKKCB_00118	CDS	360				hypothetical protein
AMPIKKCB_00119	CDS	951				hypothetical protein
AMPIKKCB_00120	CDS	471				hypothetical protein
AMPIKKCB_00121	CDS	408				hypothetical protein
AMPIKKCB_00122	CDS	483				hypothetical protein
AMPIKKCB_00123	CDS	504				hypothetical protein
AMPIKKCB_00124	CDS	804				hypothetical protein
AMPIKKCB_00125	CDS	975				IS701 family transposase ISAba11
AMPIKKCB_00126	CDS	2169	plcN_1	3.1.4.3	COG3511	Non-hemolytic phospholipase C
AMPIKKCB_00127	CDS	168				hypothetical protein
AMPIKKCB_00128	CDS	846	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
AMPIKKCB_00129	CDS	570	ampD	3.5.1.28		1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
AMPIKKCB_00130	CDS	1542	murJ		COG0728	putative lipid II flippase MurJ
AMPIKKCB_00131	CDS	696	mip	5.2.1.8	COG0545	Outer membrane protein MIP
AMPIKKCB_00132	CDS	723	fkpA	5.2.1.8	COG0545	putative FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
AMPIKKCB_00133	CDS	2187	ptk	2.7.10.-	COG0489	Tyrosine-protein kinase ptk
AMPIKKCB_00134	CDS	429	ptp	3.1.3.48		Low molecular weight protein-tyrosine-phosphatase Ptp
AMPIKKCB_00135	CDS	1101				hypothetical protein
AMPIKKCB_00136	CDS	1296	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
AMPIKKCB_00137	CDS	951	wbpB	1.1.1.335	COG0673	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase
AMPIKKCB_00138	CDS	579	wbpD	2.3.1.201	COG0110	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase
AMPIKKCB_00139	CDS	1080	wbpE	2.6.1.98	COG0399	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
AMPIKKCB_00140	CDS	1353				hypothetical protein
AMPIKKCB_00141	CDS	567	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
AMPIKKCB_00142	CDS	1164				hypothetical protein
AMPIKKCB_00143	CDS	1092				hypothetical protein
AMPIKKCB_00144	CDS	1041				hypothetical protein
AMPIKKCB_00145	CDS	1035	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
AMPIKKCB_00146	CDS	828	wbbD	2.4.1.303	COG0463	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase
AMPIKKCB_00147	CDS	621	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
AMPIKKCB_00148	CDS	876	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
AMPIKKCB_00149	CDS	1263				hypothetical protein
AMPIKKCB_00150	CDS	1671	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
AMPIKKCB_00151	CDS	1017	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
AMPIKKCB_00152	CDS	1371	algC_1	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
AMPIKKCB_00153	CDS	1662	lldP		COG1620	L-lactate permease
AMPIKKCB_00154	CDS	753	lldR		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
AMPIKKCB_00155	CDS	1152	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
AMPIKKCB_00156	CDS	1707	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
AMPIKKCB_00157	CDS	1215	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
AMPIKKCB_00158	CDS	711	gntR			putative D-xylose utilization operon transcriptional repressor
AMPIKKCB_00159	CDS	885	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
AMPIKKCB_00160	CDS	1158	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
AMPIKKCB_00161	CDS	2607	acnD	4.2.1.117	COG1048	2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)
AMPIKKCB_00162	CDS	411				hypothetical protein
AMPIKKCB_00163	CDS	708				hypothetical protein
AMPIKKCB_00164	CDS	939				hypothetical protein
AMPIKKCB_00165	CDS	576				hypothetical protein
AMPIKKCB_00166	CDS	306				hypothetical protein
AMPIKKCB_00167	CDS	345	cdiI			Immunity protein CdiI
AMPIKKCB_00168	CDS	285				hypothetical protein
AMPIKKCB_00169	CDS	1227	fabB_1	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
AMPIKKCB_00170	CDS	693	esiB_1			Secretory immunoglobulin A-binding protein EsiB
AMPIKKCB_00171	CDS	2847				hypothetical protein
AMPIKKCB_00172	CDS	999				hypothetical protein
AMPIKKCB_00173	CDS	1287				hypothetical protein
AMPIKKCB_00174	CDS	867				hypothetical protein
AMPIKKCB_00175	CDS	702				hypothetical protein
AMPIKKCB_00176	CDS	702				hypothetical protein
AMPIKKCB_00177	CDS	666	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
AMPIKKCB_00178	CDS	375				hypothetical protein
AMPIKKCB_00179	CDS	381				hypothetical protein
AMPIKKCB_00180	CDS	2091	cntO_1			Metal-pseudopaline receptor CntO
AMPIKKCB_00181	CDS	1146				hypothetical protein
AMPIKKCB_00182	CDS	468	lrp_1		COG1522	Leucine-responsive regulatory protein
AMPIKKCB_00183	CDS	1266	dadA1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
AMPIKKCB_00184	CDS	1104	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
AMPIKKCB_00185	CDS	360	rutC	1.-.-.-		Putative aminoacrylate peracid reductase RutC
AMPIKKCB_00186	CDS	1440	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
AMPIKKCB_00187	CDS	1431	cycA_2		COG1113	D-serine/D-alanine/glycine transporter
AMPIKKCB_00188	CDS	882	hdfR_1			HTH-type transcriptional regulator HdfR
AMPIKKCB_00189	CDS	1518	mmsA	1.2.1.27	COG1012	Methylmalonate-semialdehyde dehydrogenase [acylating]
AMPIKKCB_00190	CDS	891	mmsB	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
AMPIKKCB_00191	CDS	1650	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
AMPIKKCB_00192	CDS	1128	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
AMPIKKCB_00193	CDS	774	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
AMPIKKCB_00194	CDS	1026	fadJ_1	5.1.2.3		Fatty acid oxidation complex subunit alpha
AMPIKKCB_00195	CDS	1353	abaF_1			Fosfomycin resistance protein AbaF
AMPIKKCB_00196	CDS	552	abaI	2.3.1.184		Acyl-homoserine-lactone synthase
AMPIKKCB_00197	CDS	417				hypothetical protein
AMPIKKCB_00198	CDS	717	anoR			Transcriptional activator protein AnoR
AMPIKKCB_00199	CDS	1890		6.2.1.-	COG0318	Long-chain-fatty-acid--AMP ligase FadD32
AMPIKKCB_00200	CDS	1794				hypothetical protein
AMPIKKCB_00201	CDS	261	pksN	2.3.1.-	COG1020	Polyketide synthase PksN
AMPIKKCB_00202	CDS	3960	dhbF		COG1020	Dimodular nonribosomal peptide synthase
AMPIKKCB_00203	CDS	3651				hypothetical protein
AMPIKKCB_00204	CDS	1275				hypothetical protein
AMPIKKCB_00205	CDS	1866	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
AMPIKKCB_00206	CDS	762				hypothetical protein
AMPIKKCB_00207	tRNA	76				tRNA-Gly(gcc)
AMPIKKCB_00208	tRNA	76				tRNA-Gly(gcc)
AMPIKKCB_00209	CDS	309	bolA		COG0271	DNA-binding transcriptional regulator BolA
AMPIKKCB_00210	CDS	393				hypothetical protein
AMPIKKCB_00211	CDS	843	parA			Chromosome partitioning protein ParA
AMPIKKCB_00212	CDS	387				hypothetical protein
AMPIKKCB_00213	CDS	591				hypothetical protein
AMPIKKCB_00214	CDS	642	dedA_2		COG0586	Protein DedA
AMPIKKCB_00215	CDS	438	yqjF		COG2259	Inner membrane protein YqjF
AMPIKKCB_00216	CDS	1230				hypothetical protein
AMPIKKCB_00217	CDS	1569	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
AMPIKKCB_00218	CDS	789	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
AMPIKKCB_00219	CDS	528	yqjI		COG1695	Transcriptional regulator YqjI
AMPIKKCB_00220	CDS	306				hypothetical protein
AMPIKKCB_00221	CDS	948				hypothetical protein
AMPIKKCB_00222	CDS	408				hypothetical protein
AMPIKKCB_00223	CDS	669				hypothetical protein
AMPIKKCB_00224	CDS	627	ftsN			Cell division protein FtsN
AMPIKKCB_00225	CDS	1791	argS	6.1.1.19		Arginine--tRNA ligase
AMPIKKCB_00226	CDS	1698	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
AMPIKKCB_00227	CDS	921	yfeX_1	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
AMPIKKCB_00228	CDS	627	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
AMPIKKCB_00229	CDS	810	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
AMPIKKCB_00230	CDS	780	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
AMPIKKCB_00231	CDS	498	zur		COG0735	Zinc uptake regulation protein
AMPIKKCB_00232	CDS	840	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
AMPIKKCB_00233	CDS	399				hypothetical protein
AMPIKKCB_00234	CDS	876	atpB		COG0356	ATP synthase subunit a
AMPIKKCB_00235	CDS	246	atpE		COG0636	ATP synthase subunit c
AMPIKKCB_00236	CDS	471	atpF		COG0711	ATP synthase subunit b
AMPIKKCB_00237	CDS	537	atpH		COG0712	ATP synthase subunit delta
AMPIKKCB_00238	CDS	1545	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
AMPIKKCB_00239	CDS	870	atpG		COG0224	ATP synthase gamma chain
AMPIKKCB_00240	CDS	1395	atpD1	7.1.2.2		ATP synthase subunit beta 1
AMPIKKCB_00241	CDS	420	atpC		COG0355	ATP synthase epsilon chain
AMPIKKCB_00242	CDS	600				hypothetical protein
AMPIKKCB_00243	CDS	546	btuE	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
AMPIKKCB_00244	CDS	765	nimR_1			HTH-type transcriptional regulator NimR
AMPIKKCB_00245	CDS	1215	nepI		COG2814	Purine ribonucleoside efflux pump NepI
AMPIKKCB_00246	CDS	642	comR			HTH-type transcriptional repressor ComR
AMPIKKCB_00247	CDS	909				hypothetical protein
AMPIKKCB_00248	CDS	570	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
AMPIKKCB_00249	CDS	1152				hypothetical protein
AMPIKKCB_00250	CDS	1155				hypothetical protein
AMPIKKCB_00251	CDS	531	def_1	3.5.1.88	COG0242	Peptide deformylase
AMPIKKCB_00252	CDS	429				hypothetical protein
AMPIKKCB_00253	CDS	2115	btuB_1			Vitamin B12 transporter BtuB
AMPIKKCB_00254	CDS	207				hypothetical protein
AMPIKKCB_00255	CDS	1215				hypothetical protein
AMPIKKCB_00256	CDS	597	betI_1			HTH-type transcriptional regulator BetI
AMPIKKCB_00257	rRNA	1533				16S ribosomal RNA
AMPIKKCB_00258	tRNA	77				tRNA-Ile(gat)
AMPIKKCB_00259	tRNA	76				tRNA-Ala(tgc)
AMPIKKCB_00260	rRNA	2890				23S ribosomal RNA
AMPIKKCB_00261	rRNA	111				5S ribosomal RNA
AMPIKKCB_00262	CDS	543	aac	2.3.1.-		Aminoglycoside 2'-N-acetyltransferase
AMPIKKCB_00263	CDS	999	srpG	2.5.1.47	COG0031	Cysteine synthase
AMPIKKCB_00264	CDS	489				hypothetical protein
AMPIKKCB_00265	CDS	567	fldP_1			Flavodoxin FldP
AMPIKKCB_00266	CDS	486				hypothetical protein
AMPIKKCB_00267	CDS	405	cueR		COG0789	HTH-type transcriptional regulator CueR
AMPIKKCB_00268	CDS	1260				hypothetical protein
AMPIKKCB_00269	CDS	2379				hypothetical protein
AMPIKKCB_00270	CDS	501				hypothetical protein
AMPIKKCB_00271	CDS	354			COG0251	RutC family protein
AMPIKKCB_00272	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
AMPIKKCB_00273	CDS	759				hypothetical protein
AMPIKKCB_00274	CDS	1392	hsrA			putative transport protein HsrA
AMPIKKCB_00275	CDS	624				hypothetical protein
AMPIKKCB_00276	CDS	1593				hypothetical protein
AMPIKKCB_00277	CDS	468				hypothetical protein
AMPIKKCB_00278	CDS	645				hypothetical protein
AMPIKKCB_00279	CDS	1320	naiP_1			Putative niacin/nicotinamide transporter NaiP
AMPIKKCB_00280	CDS	2220	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
AMPIKKCB_00281	CDS	1680	fadD_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
AMPIKKCB_00282	CDS	384				hypothetical protein
AMPIKKCB_00283	CDS	399				hypothetical protein
AMPIKKCB_00284	CDS	528	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
AMPIKKCB_00285	CDS	1317	oprD	3.4.21.-		Porin D
AMPIKKCB_00286	CDS	813				hypothetical protein
AMPIKKCB_00287	CDS	879	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
AMPIKKCB_00288	CDS	777	fucA	4.1.2.17		L-fuculose phosphate aldolase
AMPIKKCB_00289	CDS	1413	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
AMPIKKCB_00290	CDS	1488	comM		COG0606	Competence protein ComM
AMPIKKCB_00291	CDS	228	ubiK			Ubiquinone biosynthesis accessory factor UbiK
AMPIKKCB_00292	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
AMPIKKCB_00293	CDS	1398	amtB_1			Ammonia channel
AMPIKKCB_00294	CDS	459	nrdR		COG1327	Transcriptional repressor NrdR
AMPIKKCB_00295	CDS	1086	ribD		COG0117	Riboflavin biosynthesis protein RibD
AMPIKKCB_00296	CDS	1293				hypothetical protein
AMPIKKCB_00297	CDS	660	ribE	2.5.1.9		Riboflavin synthase
AMPIKKCB_00298	CDS	219				hypothetical protein
AMPIKKCB_00299	CDS	636				hypothetical protein
AMPIKKCB_00300	CDS	408				hypothetical protein
AMPIKKCB_00301	CDS	1449	pepA	3.4.11.10		cytosol aminopeptidase
AMPIKKCB_00302	CDS	1101	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
AMPIKKCB_00303	CDS	1071	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
AMPIKKCB_00304	CDS	1548	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
AMPIKKCB_00305	CDS	1185		3.4.21.-		putative CtpA-like serine protease
AMPIKKCB_00306	CDS	1422	atoC		COG2204	Regulatory protein AtoC
AMPIKKCB_00307	CDS	1569	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
AMPIKKCB_00308	CDS	636	gacA			Response regulator GacA
AMPIKKCB_00309	CDS	1008				hypothetical protein
AMPIKKCB_00310	CDS	1140	thrC	4.2.3.1	COG0498	Threonine synthase
AMPIKKCB_00311	CDS	1302	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
AMPIKKCB_00312	CDS	816				hypothetical protein
AMPIKKCB_00313	CDS	921	xerD		COG4974	Tyrosine recombinase XerD
AMPIKKCB_00314	CDS	300				hypothetical protein
AMPIKKCB_00315	CDS	1854	feoB		COG0370	Fe(2+) transporter FeoB
AMPIKKCB_00316	CDS	252				hypothetical protein
AMPIKKCB_00317	CDS	1347	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
AMPIKKCB_00318	CDS	1197	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
AMPIKKCB_00319	CDS	933	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
AMPIKKCB_00320	CDS	537	dksA		COG1734	RNA polymerase-binding transcription factor DksA
AMPIKKCB_00321	CDS	813	cpdA_1	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
AMPIKKCB_00322	CDS	627	nudF	3.6.1.13		ADP-ribose pyrophosphatase
AMPIKKCB_00323	CDS	1878	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
AMPIKKCB_00324	CDS	1065				hypothetical protein
AMPIKKCB_00325	CDS	582				hypothetical protein
AMPIKKCB_00326	CDS	906				hypothetical protein
AMPIKKCB_00327	CDS	1347	tolC		COG1538	Outer membrane protein TolC
AMPIKKCB_00328	CDS	768	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
AMPIKKCB_00329	CDS	270			COG2924	putative Fe(2+)-trafficking protein
AMPIKKCB_00330	CDS	1380	argH	4.3.2.1	COG0165	Argininosuccinate lyase
AMPIKKCB_00331	CDS	1140				hypothetical protein
AMPIKKCB_00332	CDS	741	btsR		COG3279	Transcriptional regulatory protein BtsR
AMPIKKCB_00333	CDS	930	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
AMPIKKCB_00334	CDS	768				hypothetical protein
AMPIKKCB_00335	CDS	840				hypothetical protein
AMPIKKCB_00336	CDS	1194				hypothetical protein
AMPIKKCB_00337	CDS	315		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
AMPIKKCB_00338	CDS	327	hvrA			Trans-acting regulatory protein HvrA
AMPIKKCB_00339	CDS	744				hypothetical protein
AMPIKKCB_00340	CDS	837				hypothetical protein
AMPIKKCB_00341	CDS	2271	xcpQ		COG1450	Secretin XcpQ
AMPIKKCB_00342	CDS	630				hypothetical protein
AMPIKKCB_00343	CDS	669	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
AMPIKKCB_00344	CDS	1494	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
AMPIKKCB_00345	tRNA	76				tRNA-Thr(tgt)
AMPIKKCB_00346	tRNA	84				tRNA-Tyr(gta)
AMPIKKCB_00347	tRNA	76				tRNA-Gly(tcc)
AMPIKKCB_00348	tRNA	75				tRNA-Thr(ggt)
AMPIKKCB_00349	CDS	1191	tufA_1		COG0050	Elongation factor Tu
AMPIKKCB_00350	tRNA	76				tRNA-Trp(cca)
AMPIKKCB_00351	CDS	441	secE			Protein translocase subunit SecE
AMPIKKCB_00352	CDS	534	nusG		COG0250	Transcription termination/antitermination protein NusG
