locus_tag	ftype	length_bp	gene	EC_number	COG	product
NJOOCDGH_00201	CDS	309	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
NJOOCDGH_00202	CDS	1437	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
NJOOCDGH_00203	CDS	813				hypothetical protein
NJOOCDGH_00204	CDS	720	tolQ_1		COG0811	Tol-Pal system protein TolQ
NJOOCDGH_00205	CDS	402	exbD_1		COG0848	Biopolymer transport protein ExbD
NJOOCDGH_00206	CDS	213				hypothetical protein
NJOOCDGH_00207	CDS	582				hypothetical protein
NJOOCDGH_00208	CDS	1458	aam_1	3.5.1.13	COG0154	Acylamidase
NJOOCDGH_00209	CDS	1035	spuE_1		COG0687	Spermidine-binding periplasmic protein SpuE
NJOOCDGH_00210	CDS	810	ydcV_1			Inner membrane ABC transporter permease protein YdcV
NJOOCDGH_00211	CDS	921	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
NJOOCDGH_00212	CDS	1113	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
NJOOCDGH_00213	CDS	894	gcvA_2			Glycine cleavage system transcriptional activator
NJOOCDGH_00214	CDS	1665	madA	2.3.1.187		Acetyl-S-ACP:malonate ACP transferase
NJOOCDGH_00215	CDS	882	citG	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
NJOOCDGH_00216	CDS	300	mdcC			Malonate decarboxylase acyl carrier protein
NJOOCDGH_00217	CDS	864	madC	2.1.3.10		Malonyl-S-ACP:biotin-protein carboxyltransferase MADC
NJOOCDGH_00218	CDS	807				hypothetical protein
NJOOCDGH_00219	CDS	693	mdcG	2.7.7.66		Phosphoribosyl-dephospho-CoA transferase
NJOOCDGH_00220	CDS	933	fabD_1	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
NJOOCDGH_00221	CDS	405				hypothetical protein
NJOOCDGH_00222	CDS	765				hypothetical protein
NJOOCDGH_00223	CDS	930	gltC_1			HTH-type transcriptional regulator GltC
NJOOCDGH_00224	CDS	921	gltC_2			HTH-type transcriptional regulator GltC
NJOOCDGH_00225	CDS	1491	puuC_1	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
NJOOCDGH_00226	CDS	1434	yhdG_1		COG0531	putative amino acid permease YhdG
NJOOCDGH_00227	CDS	1383	spuC_1	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
NJOOCDGH_00228	CDS	1059				hypothetical protein
NJOOCDGH_00229	CDS	882	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
NJOOCDGH_00230	CDS	783	fucA_1	4.1.2.17		L-fuculose phosphate aldolase
NJOOCDGH_00231	CDS	540	sutR_1		COG1396	HTH-type transcriptional regulator SutR
NJOOCDGH_00232	CDS	852	catI	2.8.3.6		3-oxoadipate CoA-transferase subunit A
NJOOCDGH_00233	CDS	783	catJ	2.8.3.6		3-oxoadipate CoA-transferase subunit B
NJOOCDGH_00234	CDS	1206	pcaF_1	2.3.1.174		Beta-ketoadipyl-CoA thiolase
NJOOCDGH_00235	CDS	1299	kgtP_1			Alpha-ketoglutarate permease
NJOOCDGH_00236	CDS	1380	pcaB_1	5.5.1.2	COG0015	3-carboxy-cis,cis-muconate cycloisomerase
NJOOCDGH_00237	CDS	792	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
NJOOCDGH_00238	CDS	402				hypothetical protein
NJOOCDGH_00239	CDS	942				hypothetical protein
NJOOCDGH_00240	CDS	834				hypothetical protein
NJOOCDGH_00241	CDS	1347	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
NJOOCDGH_00242	CDS	780	iclR		COG1414	Transcriptional repressor IclR
NJOOCDGH_00243	CDS	1044	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
NJOOCDGH_00244	CDS	816				hypothetical protein
NJOOCDGH_00245	CDS	879				hypothetical protein
NJOOCDGH_00246	CDS	1266	nicP_1			Porin-like protein NicP
NJOOCDGH_00247	CDS	1326	exuT_1			Hexuronate transporter
NJOOCDGH_00248	CDS	1905				hypothetical protein
NJOOCDGH_00249	CDS	669	nicS			HTH-type transcriptional repressor NicS
NJOOCDGH_00250	CDS	855	aroE_2	1.1.1.-		Quinate/shikimate dehydrogenase (NAD(+))
NJOOCDGH_00251	CDS	447	aroQ1_1	4.2.1.10	COG0757	3-dehydroquinate dehydratase 1
NJOOCDGH_00252	CDS	1506	mdtD			Putative multidrug resistance protein MdtD
NJOOCDGH_00253	CDS	1185	pobA	1.14.13.2	COG0654	p-hydroxybenzoate hydroxylase
NJOOCDGH_00254	CDS	867				hypothetical protein
NJOOCDGH_00255	CDS	447	yjaB_1	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
NJOOCDGH_00256	CDS	435	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
NJOOCDGH_00257	CDS	642				hypothetical protein
NJOOCDGH_00258	CDS	255				hypothetical protein
NJOOCDGH_00259	CDS	465				hypothetical protein
NJOOCDGH_00260	CDS	1491	hudA	4.1.1.-	COG0043	UbiD-like decarboxylase
NJOOCDGH_00261	CDS	702				hypothetical protein
NJOOCDGH_00262	CDS	933				hypothetical protein
NJOOCDGH_00263	CDS	792				IS3 family transposase ISPa57
NJOOCDGH_00264	CDS	186				hypothetical protein
NJOOCDGH_00265	CDS	1443				hypothetical protein
NJOOCDGH_00266	CDS	2151				hypothetical protein
NJOOCDGH_00267	CDS	498				hypothetical protein
NJOOCDGH_00268	CDS	3060				hypothetical protein
NJOOCDGH_00269	CDS	519	hcpA_1		COG3157	Major exported protein
NJOOCDGH_00270	tRNA	77				tRNA-Arg(ccg)
NJOOCDGH_00271	CDS	1452	davD	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
NJOOCDGH_00272	CDS	1281	davT	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
NJOOCDGH_00273	CDS	1200				hypothetical protein
NJOOCDGH_00274	CDS	1422	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
NJOOCDGH_00275	CDS	438				hypothetical protein
NJOOCDGH_00276	CDS	408				hypothetical protein
NJOOCDGH_00277	CDS	285				hypothetical protein
NJOOCDGH_00278	CDS	933	pcpR_1			PCP degradation transcriptional activation protein
NJOOCDGH_00279	CDS	1215	yycB_1		COG2807	putative transporter YycB
NJOOCDGH_00280	CDS	771				hypothetical protein
NJOOCDGH_00281	CDS	687	crp		COG0664	CRP-like cAMP-activated global transcriptional regulator
NJOOCDGH_00282	CDS	516				hypothetical protein
NJOOCDGH_00283	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
NJOOCDGH_00284	CDS	753				hypothetical protein
NJOOCDGH_00285	CDS	699				hypothetical protein
NJOOCDGH_00286	CDS	990	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
NJOOCDGH_00287	CDS	870	cysW		COG4208	Sulfate transport system permease protein CysW
NJOOCDGH_00288	CDS	819	cysT		COG0555	Sulfate transport system permease protein CysT
NJOOCDGH_00289	CDS	999	sbp_1		COG1613	Sulfate-binding protein
NJOOCDGH_00290	CDS	183				hypothetical protein
NJOOCDGH_00291	CDS	2283				hypothetical protein
NJOOCDGH_00292	CDS	1179				hypothetical protein
NJOOCDGH_00293	CDS	1386	putP_1			Sodium/proline symporter
NJOOCDGH_00294	CDS	957	gpuA	3.5.3.17	COG0010	Guanidinopropionase
NJOOCDGH_00295	CDS	963				hypothetical protein
NJOOCDGH_00296	CDS	972				hypothetical protein
NJOOCDGH_00297	CDS	1383	nicP_2			Porin-like protein NicP
NJOOCDGH_00298	CDS	1107	aguA	3.5.3.12	COG2957	Agmatine deiminase
NJOOCDGH_00299	CDS	879		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
NJOOCDGH_00300	CDS	666				hypothetical protein
NJOOCDGH_00301	CDS	1062	potF_1		COG0687	Putrescine-binding periplasmic protein
NJOOCDGH_00302	CDS	1377	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
NJOOCDGH_00303	CDS	753	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
NJOOCDGH_00304	CDS	1359	puuA_2	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
NJOOCDGH_00305	CDS	1371	spuC_2	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
NJOOCDGH_00306	CDS	1104	spuD_1		COG0687	Putrescine-binding periplasmic protein SpuD
NJOOCDGH_00307	CDS	1098	spuE_2		COG0687	Spermidine-binding periplasmic protein SpuE
NJOOCDGH_00308	CDS	1155	potA_2	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
NJOOCDGH_00309	CDS	912	potH		COG1176	Putrescine transport system permease protein PotH
NJOOCDGH_00310	CDS	870	ydcV_2			Inner membrane ABC transporter permease protein YdcV
NJOOCDGH_00311	CDS	2388	quiP_1	3.5.1.97	COG2366	Acyl-homoserine lactone acylase QuiP
NJOOCDGH_00312	CDS	1053				hypothetical protein
NJOOCDGH_00313	CDS	504				hypothetical protein
NJOOCDGH_00314	CDS	576				hypothetical protein
NJOOCDGH_00315	CDS	942	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
NJOOCDGH_00316	CDS	753				hypothetical protein
NJOOCDGH_00317	CDS	630				hypothetical protein
NJOOCDGH_00318	CDS	555				hypothetical protein
NJOOCDGH_00319	CDS	90				hypothetical protein
NJOOCDGH_00320	CDS	495				hypothetical protein
NJOOCDGH_00321	CDS	693	yecS_1		COG0765	L-cystine transport system permease protein YecS
NJOOCDGH_00322	CDS	771	fliY_1		COG0834	L-cystine-binding protein FliY
NJOOCDGH_00323	CDS	438				hypothetical protein
NJOOCDGH_00324	CDS	1230	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
NJOOCDGH_00325	CDS	1395		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
NJOOCDGH_00326	CDS	666	ycgM		COG0179	putative protein YcgM
NJOOCDGH_00327	CDS	933	yjiK_1		COG3204	putative protein YjiK
NJOOCDGH_00328	CDS	351	ygiW		COG3111	Protein YgiW
NJOOCDGH_00329	CDS	1035	aphB	3.5.1.-	COG0123	Acetylpolyamine amidohydrolase 2
NJOOCDGH_00330	CDS	1395	puuP_1		COG0531	Putrescine importer PuuP
NJOOCDGH_00331	CDS	1044	spuE_3		COG0687	Spermidine-binding periplasmic protein SpuE
NJOOCDGH_00332	CDS	789	ydcV_3			Inner membrane ABC transporter permease protein YdcV
NJOOCDGH_00333	CDS	930	potB_2		COG1176	Spermidine/putrescine transport system permease protein PotB
NJOOCDGH_00334	CDS	1050	potA_3	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
NJOOCDGH_00335	CDS	930	yjiK_2		COG3204	putative protein YjiK
NJOOCDGH_00336	CDS	1977				hypothetical protein
NJOOCDGH_00337	CDS	333				hypothetical protein
NJOOCDGH_00338	CDS	672	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
NJOOCDGH_00339	CDS	1515	ilvA_1	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
NJOOCDGH_00340	CDS	468				hypothetical protein
NJOOCDGH_00341	CDS	1272				hypothetical protein
NJOOCDGH_00342	CDS	468				hypothetical protein
NJOOCDGH_00343	CDS	1239				hypothetical protein
NJOOCDGH_00344	CDS	654		3.1.3.-	COG0560	putative phosphatase
NJOOCDGH_00345	CDS	480	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
NJOOCDGH_00346	CDS	2280	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
NJOOCDGH_00347	CDS	1038				hypothetical protein
NJOOCDGH_00348	CDS	756				hypothetical protein
NJOOCDGH_00349	CDS	804				hypothetical protein
NJOOCDGH_00350	CDS	801	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
NJOOCDGH_00351	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
NJOOCDGH_00352	CDS	798				hypothetical protein
NJOOCDGH_00353	CDS	1380				hypothetical protein
NJOOCDGH_00354	CDS	1386				putative membrane protein
NJOOCDGH_00355	CDS	363				hypothetical protein
NJOOCDGH_00356	CDS	1152	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
NJOOCDGH_00357	CDS	1095				hypothetical protein
NJOOCDGH_00358	CDS	1041				hypothetical protein
NJOOCDGH_00359	CDS	507	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
NJOOCDGH_00360	CDS	474				hypothetical protein
NJOOCDGH_00361	CDS	1386	xanP_2		COG2233	Xanthine permease XanP
NJOOCDGH_00362	CDS	1839	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
